NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: Sandy Hook 
State: NJ 
Stationid: 8531680
Prediction Type: Harmonic
From: 20180101 00:27 - 20181231 21:49
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2018/01/01	Mon	12:27 AM	-0.89		-27			L
2018/01/01	Mon	06:38 AM	6.02		183			H
2018/01/01	Mon	01:21 PM	-1.02		-31			L
2018/01/01	Mon	07:11 PM	5.00		152			H
2018/01/02	Tue	01:22 AM	-1.02		-31			L
2018/01/02	Tue	07:30 AM	6.14		187			H
2018/01/02	Tue	02:13 PM	-1.18		-36			L
2018/01/02	Tue	08:04 PM	5.08		155			H
2018/01/03	Wed	02:15 AM	-1.05		-32			L
2018/01/03	Wed	08:23 AM	6.10		186			H
2018/01/03	Wed	03:04 PM	-1.22		-37			L
2018/01/03	Wed	08:59 PM	5.06		154			H
2018/01/04	Thu	03:08 AM	-0.97		-30			L
2018/01/04	Thu	09:16 AM	5.91		180			H
2018/01/04	Thu	03:54 PM	-1.12		-34			L
2018/01/04	Thu	09:55 PM	4.99		152			H
2018/01/05	Fri	03:59 AM	-0.76		-23			L
2018/01/05	Fri	10:11 AM	5.62		171			H
2018/01/05	Fri	04:43 PM	-0.91		-28			L
2018/01/05	Fri	10:52 PM	4.88		149			H
2018/01/06	Sat	04:52 AM	-0.44		-13			L
2018/01/06	Sat	11:07 AM	5.27		161			H
2018/01/06	Sat	05:34 PM	-0.63		-19			L
2018/01/06	Sat	11:48 PM	4.78		146			H
2018/01/07	Sun	05:48 AM	-0.08		-2			L
2018/01/07	Sun	12:01 PM	4.91		150			H
2018/01/07	Sun	06:28 PM	-0.33		-10			L
2018/01/08	Mon	12:42 AM	4.68		143			H
2018/01/08	Mon	06:50 AM	0.24		7			L
2018/01/08	Mon	12:55 PM	4.55		139			H
2018/01/08	Mon	07:26 PM	-0.08		-2			L
2018/01/09	Tue	01:35 AM	4.60		140			H
2018/01/09	Tue	07:56 AM	0.43		13			L
2018/01/09	Tue	01:47 PM	4.24		129			H
2018/01/09	Tue	08:23 PM	0.08		2			L
2018/01/10	Wed	02:28 AM	4.54		138			H
2018/01/10	Wed	08:58 AM	0.46		14			L
2018/01/10	Wed	02:42 PM	3.99		122			H
2018/01/10	Wed	09:16 PM	0.16		5			L
2018/01/11	Thu	03:22 AM	4.54		138			H
2018/01/11	Thu	09:54 AM	0.39		12			L
2018/01/11	Thu	03:38 PM	3.86		118			H
2018/01/11	Thu	10:04 PM	0.18		5			L
2018/01/12	Fri	04:15 AM	4.60		140			H
2018/01/12	Fri	10:44 AM	0.26		8			L
2018/01/12	Fri	04:34 PM	3.84		117			H
2018/01/12	Fri	10:50 PM	0.16		5			L
2018/01/13	Sat	05:05 AM	4.71		144			H
2018/01/13	Sat	11:31 AM	0.12		4			L
2018/01/13	Sat	05:27 PM	3.91		119			H
2018/01/13	Sat	11:34 PM	0.11		3			L
2018/01/14	Sun	05:51 AM	4.85		148			H
2018/01/14	Sun	12:15 PM	-0.02		-1			L
2018/01/14	Sun	06:13 PM	4.01		122			H
2018/01/15	Mon	12:17 AM	0.06		2			L
2018/01/15	Mon	06:33 AM	4.96		151			H
2018/01/15	Mon	12:58 PM	-0.14		-4			L
2018/01/15	Mon	06:56 PM	4.10		125			H
2018/01/16	Tue	01:00 AM	0.01		0			L
2018/01/16	Tue	07:13 AM	5.02		153			H
2018/01/16	Tue	01:40 PM	-0.23		-7			L
2018/01/16	Tue	07:36 PM	4.15		126			H
2018/01/17	Wed	01:41 AM	-0.01		-0			L
2018/01/17	Wed	07:50 AM	5.02		153			H
2018/01/17	Wed	02:20 PM	-0.28		-9			L
2018/01/17	Wed	08:13 PM	4.15		126			H
2018/01/18	Thu	02:21 AM	-0.01		-0			L
2018/01/18	Thu	08:26 AM	4.96		151			H
2018/01/18	Thu	02:57 PM	-0.28		-9			L
2018/01/18	Thu	08:50 PM	4.12		126			H
2018/01/19	Fri	02:59 AM	0.04		1			L
2018/01/19	Fri	09:01 AM	4.86		148			H
2018/01/19	Fri	03:33 PM	-0.24		-7			L
2018/01/19	Fri	09:27 PM	4.09		125			H
2018/01/20	Sat	03:35 AM	0.12		4			L
2018/01/20	Sat	09:37 AM	4.74		144			H
2018/01/20	Sat	04:07 PM	-0.17		-5			L
2018/01/20	Sat	10:05 PM	4.08		124			H
2018/01/21	Sun	04:11 AM	0.23		7			L
2018/01/21	Sun	10:16 AM	4.60		140			H
2018/01/21	Sun	04:41 PM	-0.09		-3			L
2018/01/21	Sun	10:46 PM	4.12		126			H
2018/01/22	Mon	04:50 AM	0.36		11			L
2018/01/22	Mon	11:00 AM	4.46		136			H
2018/01/22	Mon	05:17 PM	-0.01		-0			L
2018/01/22	Mon	11:31 PM	4.21		128			H
2018/01/23	Tue	05:36 AM	0.49		15			L
2018/01/23	Tue	11:49 AM	4.34		132			H
2018/01/23	Tue	06:02 PM	0.07		2			L
2018/01/24	Wed	12:21 AM	4.35		133			H
2018/01/24	Wed	06:41 AM	0.59		18			L
2018/01/24	Wed	12:44 PM	4.22		129			H
2018/01/24	Wed	07:00 PM	0.13		4			L
2018/01/25	Thu	01:15 AM	4.52		138			H
2018/01/25	Thu	08:00 AM	0.55		17			L
2018/01/25	Thu	01:43 PM	4.14		126			H
2018/01/25	Thu	08:09 PM	0.09		3			L
2018/01/26	Fri	02:15 AM	4.71		144			H
2018/01/26	Fri	09:13 AM	0.32		10			L
2018/01/26	Fri	02:48 PM	4.12		126			H
2018/01/26	Fri	09:16 PM	-0.07		-2			L
2018/01/27	Sat	03:20 AM	4.95		151			H
2018/01/27	Sat	10:16 AM	-0.01		-0			L
2018/01/27	Sat	03:57 PM	4.23		129			H
2018/01/27	Sat	10:17 PM	-0.32		-10			L
2018/01/28	Sun	04:26 AM	5.25		160			H
2018/01/28	Sun	11:14 AM	-0.38		-12			L
2018/01/28	Sun	05:03 PM	4.47		136			H
2018/01/28	Sun	11:16 PM	-0.58		-18			L
2018/01/29	Mon	05:28 AM	5.58		170			H
2018/01/29	Mon	12:10 PM	-0.72		-22			L
2018/01/29	Mon	06:03 PM	4.77		145			H
2018/01/30	Tue	12:12 AM	-0.83		-25			L
2018/01/30	Tue	06:24 AM	5.86		179			H
2018/01/30	Tue	01:04 PM	-0.99		-30			L
2018/01/30	Tue	06:57 PM	5.04		154			H
2018/01/31	Wed	01:08 AM	-1.01		-31			L
2018/01/31	Wed	07:17 AM	6.01		183			H
2018/01/31	Wed	01:56 PM	-1.18		-36			L
2018/01/31	Wed	07:49 PM	5.21		159			H
2018/02/01	Thu	02:01 AM	-1.09		-33			L
2018/02/01	Thu	08:08 AM	6.00		183			H
2018/02/01	Thu	02:45 PM	-1.24		-38			L
2018/02/01	Thu	08:41 PM	5.27		161			H
2018/02/02	Fri	02:52 AM	-1.04		-32			L
2018/02/02	Fri	08:58 AM	5.83		178			H
2018/02/02	Fri	03:31 PM	-1.16		-35			L
2018/02/02	Fri	09:33 PM	5.23		159			H
2018/02/03	Sat	03:42 AM	-0.86		-26			L
2018/02/03	Sat	09:49 AM	5.54		169			H
2018/02/03	Sat	04:16 PM	-0.94		-29			L
2018/02/03	Sat	10:25 PM	5.11		156			H
2018/02/04	Sun	04:30 AM	-0.55		-17			L
2018/02/04	Sun	10:41 AM	5.17		158			H
2018/02/04	Sun	05:01 PM	-0.62		-19			L
2018/02/04	Sun	11:17 PM	4.95		151			H
2018/02/05	Mon	05:20 AM	-0.16		-5			L
2018/02/05	Mon	11:32 AM	4.78		146			H
2018/02/05	Mon	05:48 PM	-0.24		-7			L
2018/02/06	Tue	12:08 AM	4.77		145			H
2018/02/06	Tue	06:15 AM	0.22		7			L
2018/02/06	Tue	12:23 PM	4.39		134			H
2018/02/06	Tue	06:39 PM	0.12		4			L
2018/02/07	Wed	12:58 AM	4.59		140			H
2018/02/07	Wed	07:16 AM	0.51		16			L
2018/02/07	Wed	01:13 PM	4.06		124			H
2018/02/07	Wed	07:35 PM	0.41		12			L
2018/02/08	Thu	01:49 AM	4.44		135			H
2018/02/08	Thu	08:20 AM	0.65		20			L
2018/02/08	Thu	02:06 PM	3.81		116			H
2018/02/08	Thu	08:33 PM	0.57		17			L
2018/02/09	Fri	02:41 AM	4.35		133			H
2018/02/09	Fri	09:19 AM	0.63		19			L
2018/02/09	Fri	03:03 PM	3.67		112			H
2018/02/09	Fri	09:28 PM	0.59		18			L
2018/02/10	Sat	03:36 AM	4.34		132			H
2018/02/10	Sat	10:13 AM	0.52		16			L
2018/02/10	Sat	04:02 PM	3.66		112			H
2018/02/10	Sat	10:19 PM	0.53		16			L
2018/02/11	Sun	04:31 AM	4.44		135			H
2018/02/11	Sun	11:01 AM	0.36		11			L
2018/02/11	Sun	04:58 PM	3.78		115			H
2018/02/11	Sun	11:06 PM	0.40		12			L
2018/02/12	Mon	05:22 AM	4.61		141			H
2018/02/12	Mon	11:47 AM	0.18		5			L
2018/02/12	Mon	05:48 PM	3.97		121			H
2018/02/12	Mon	11:52 PM	0.25		8			L
2018/02/13	Tue	06:08 AM	4.79		146			H
2018/02/13	Tue	12:30 PM	0.00		0			L
2018/02/13	Tue	06:32 PM	4.16		127			H
2018/02/14	Wed	12:36 AM	0.10		3			L
2018/02/14	Wed	06:48 AM	4.95		151			H
2018/02/14	Wed	01:12 PM	-0.15		-5			L
2018/02/14	Wed	07:11 PM	4.32		132			H
2018/02/15	Thu	01:19 AM	-0.03		-1			L
